record_no,iso_code,country,population,year,co2,co2_per_capita,co2_per_gdp,co2_growth_prct,consumption_co2,consumption_co2_per_capita,share_global_co2
251,TCD,Chad,12785000.0,2012,0.614,0.048,0.031,-45.056,,,0.002
252,CHL,Chile,16530000.0,2007,70.707,4.277,0.261,10.529000000000002,70.186,4.246,0.226
253,CHL,Chile,16708000.0,2008,70.819,4.239,0.268,0.158,78.138,4.677,0.222
254,CHL,Chile,16886000.0,2009,65.92,3.904,0.245,-6.917000000000002,65.17399999999999,3.86,0.21
255,CHL,Chile,17063000.0,2010,71.33,4.18,0.231,8.207,74.031,4.339,0.215
256,CHL,Chile,17234000.0,2011,78.084,4.5310000000000015,0.23,9.469,83.014,4.817,0.228
257,CHL,Chile,17400000.0,2012,79.704,4.581,0.221,2.075,89.973,5.171,0.229
258,CHN,China,1345993984.0,2007,6861.751,5.098,0.6990000000000001,7.588999999999999,5394.594,4.008,21.927
259,CHN,China,1353569024.0,2008,7375.19,5.449,0.723,7.483,5888.035,4.35,23.086
260,CHN,China,1361169024.0,2009,7758.812,5.7,0.6990000000000001,5.202000000000001,6623.901999999999,4.8660000000000005,24.659
261,CHN,China,1368811008.0,2010,8500.543,6.21,0.675,9.56,7202.213000000002,5.2620000000000005,25.657
262,CHN,China,1376498048.0,2011,9388.199,6.82,0.685,10.442,7953.535,5.778,27.443
263,CHN,China,1384205952.0,2012,9633.899,6.96,0.674,2.617,8254.039,5.962999999999999,27.715
264,COL,Colombia,43738000.0,2007,60.179,1.376,0.157,-2.944,70.567,1.6130000000000002,0.192
265,COL,Colombia,44255000.0,2008,66.65,1.506,0.159,10.753,76.69,1.733,0.209
266,COL,Colombia,44750000.0,2009,72.557,1.621,0.17,8.862,77.482,1.731,0.231
267,COL,Colombia,45223000.0,2010,76.278,1.6869999999999998,0.163,5.129,84.131,1.86,0.23
268,COL,Colombia,45663000.0,2011,76.08,1.666,0.145,-0.26,85.79700000000003,1.879,0.222
269,COL,Colombia,46076000.0,2012,79.727,1.73,0.147,4.794,91.929,1.995,0.229
270,COM,Comoros,642000.0,2007,0.103,0.16,0.107,-36.364,,,0.0
271,COM,Comoros,657000.0,2008,0.106,0.162,0.103,3.571,,,0.0
272,COM,Comoros,673000.0,2009,0.132,0.196,0.129,24.138,,,0.0
273,COM,Comoros,690000.0,2010,0.161,0.234,0.159,22.222,,,0.0
274,COM,Comoros,707000.0,2011,0.136,0.192,0.127,-15.909,,,0.0
275,COM,Comoros,724000.0,2012,0.14300000000000002,0.197,0.127,5.405,,,0.0
276,COG,Congo,3876000.0,2007,1.212,0.313,0.093,7.417999999999998,,,0.004
277,COG,Congo,4011000.0,2008,1.329,0.331,0.08800000000000001,9.64,,,0.004
278,COG,Congo,4145000.0,2009,1.724,0.416,0.119,29.721,,,0.005
279,COG,Congo,4274000.0,2010,1.962,0.459,0.091,13.795,,,0.006
280,COG,Congo,4395000.0,2011,2.241,0.51,0.087,14.222,,,0.006999999999999999
281,COG,Congo,4510000.0,2012,2.943,0.653,0.121,31.335,,,0.008
282,COK,Cook Islands,19000.0,2007,0.048,2.507,,,,,0.0
